epsilonParetoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
1,epsilon,1,0.661,0.092,0.756,0.537,0.723,0.657,0.617,0.551,0.551,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
2,epsilon,2,0.660,0.092,0.756,0.537,0.721,0.657,0.619,0.544,0.544,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
3,epsilon,3,0.659,0.092,0.756,0.537,0.720,0.657,0.607,0.548,0.548,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
4,epsilon,4,0.658,0.093,0.756,0.538,0.713,0.657,0.614,0.536,0.536,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
5,epsilon,5,0.658,0.092,0.756,0.538,0.711,0.657,0.612,0.538,0.538,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
6,epsilon,6,0.657,0.093,0.756,0.537,0.719,0.657,0.602,0.537,0.537,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
7,epsilon,7,0.657,0.093,0.756,0.537,0.722,0.657,0.603,0.531,0.531,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
8,epsilon,11,0.656,0.094,0.756,0.508,0.723,0.645,0.596,0.604,0.604,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
9,epsilon,20,0.655,0.094,0.756,0.508,0.721,0.645,0.597,0.597,0.597,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
10,epsilon,27,0.654,0.094,0.756,0.536,0.723,0.601,0.609,0.608,0.601,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers,strong delivery
