stressProfile,stressLabel,caseKey,period,delivery,usefulPolicy,badPolicyInflow,reviewDocketPressure,correctedPressure,uncorrectedPressure,policyQuality,publicAlignmentState,capturePressure,correctionBacklog,courtCurbingPressure,legitimacyState,compliance,netPolicyBenefit
baseline,Baseline,balanced-winner,1,0.575,0.325,0.218,0.266,0.235,0.030,0.564,0.512,0.307,0.133,0.000,0.618,0.668,0.219
baseline,Baseline,balanced-winner,2,0.578,0.327,0.216,0.246,0.236,0.011,0.508,0.498,0.262,0.098,0.000,0.624,0.670,0.226
baseline,Baseline,balanced-winner,3,0.582,0.330,0.213,0.225,0.225,0.000,0.464,0.488,0.218,0.068,0.000,0.629,0.672,0.234
baseline,Baseline,balanced-winner,4,0.585,0.335,0.209,0.205,0.205,0.000,0.429,0.482,0.175,0.050,0.000,0.634,0.675,0.241
baseline,Baseline,balanced-winner,5,0.589,0.341,0.204,0.189,0.189,0.000,0.403,0.480,0.133,0.039,0.000,0.639,0.677,0.249
baseline,Baseline,balanced-winner,6,0.592,0.347,0.199,0.175,0.175,0.000,0.383,0.480,0.092,0.033,0.000,0.644,0.679,0.258
baseline,Baseline,balanced-winner,7,0.595,0.355,0.192,0.162,0.162,0.000,0.370,0.483,0.050,0.030,0.000,0.650,0.682,0.268
baseline,Baseline,balanced-winner,8,0.599,0.363,0.185,0.150,0.150,0.000,0.361,0.488,0.010,0.029,0.000,0.656,0.684,0.279
baseline,Baseline,balanced-winner,9,0.602,0.371,0.178,0.138,0.138,0.000,0.357,0.492,0.000,0.029,0.000,0.662,0.687,0.291
baseline,Baseline,balanced-winner,10,0.604,0.375,0.176,0.135,0.135,0.000,0.353,0.496,0.000,0.029,0.000,0.667,0.690,0.296
baseline,Baseline,balanced-winner,11,0.605,0.377,0.175,0.134,0.134,0.000,0.351,0.499,0.000,0.029,0.000,0.671,0.692,0.299
baseline,Baseline,balanced-winner,12,0.606,0.379,0.174,0.134,0.134,0.000,0.349,0.502,0.000,0.029,0.000,0.675,0.694,0.301
baseline,Baseline,balanced-winner,13,0.607,0.381,0.174,0.134,0.134,0.000,0.348,0.504,0.000,0.029,0.000,0.678,0.696,0.302
baseline,Baseline,balanced-winner,14,0.608,0.382,0.174,0.133,0.133,0.000,0.347,0.506,0.000,0.029,0.000,0.681,0.697,0.304
baseline,Baseline,balanced-winner,15,0.609,0.383,0.173,0.133,0.133,0.000,0.347,0.508,0.000,0.029,0.000,0.684,0.698,0.305
baseline,Baseline,balanced-winner,16,0.609,0.384,0.173,0.133,0.133,0.000,0.347,0.510,0.000,0.029,0.000,0.686,0.699,0.306
baseline,Baseline,balanced-winner,17,0.610,0.385,0.173,0.133,0.133,0.000,0.347,0.511,0.000,0.029,0.000,0.688,0.700,0.307
baseline,Baseline,balanced-winner,18,0.610,0.386,0.173,0.133,0.133,0.000,0.348,0.512,0.000,0.029,0.000,0.689,0.701,0.308
baseline,Baseline,balanced-winner,19,0.611,0.386,0.172,0.132,0.132,0.000,0.348,0.513,0.000,0.029,0.000,0.691,0.702,0.309
baseline,Baseline,balanced-winner,20,0.611,0.387,0.172,0.132,0.132,0.000,0.348,0.514,0.000,0.029,0.000,0.692,0.703,0.310
baseline,Baseline,balanced-winner,21,0.611,0.388,0.172,0.132,0.132,0.000,0.349,0.514,0.000,0.029,0.000,0.694,0.703,0.310
baseline,Baseline,balanced-winner,22,0.612,0.388,0.172,0.132,0.132,0.000,0.349,0.515,0.000,0.029,0.000,0.695,0.704,0.311
baseline,Baseline,balanced-winner,23,0.612,0.388,0.172,0.132,0.132,0.000,0.350,0.515,0.000,0.028,0.000,0.696,0.704,0.311
baseline,Baseline,balanced-winner,24,0.612,0.389,0.172,0.132,0.132,0.000,0.350,0.516,0.000,0.028,0.000,0.697,0.705,0.311
baseline,Baseline,robustness-winner,1,0.489,0.273,0.183,0.235,0.235,0.000,0.565,0.503,0.288,0.104,0.000,0.626,0.704,0.190
baseline,Baseline,robustness-winner,2,0.494,0.277,0.180,0.205,0.205,0.000,0.503,0.490,0.234,0.070,0.000,0.634,0.708,0.196
baseline,Baseline,robustness-winner,3,0.498,0.283,0.176,0.182,0.182,0.000,0.453,0.482,0.180,0.049,0.000,0.641,0.712,0.203
baseline,Baseline,robustness-winner,4,0.502,0.289,0.171,0.164,0.164,0.000,0.414,0.479,0.127,0.037,0.000,0.648,0.715,0.212
baseline,Baseline,robustness-winner,5,0.506,0.296,0.165,0.147,0.147,0.000,0.385,0.479,0.075,0.030,0.000,0.655,0.718,0.222
baseline,Baseline,robustness-winner,6,0.510,0.304,0.158,0.132,0.132,0.000,0.365,0.482,0.023,0.027,0.000,0.662,0.721,0.233
baseline,Baseline,robustness-winner,7,0.514,0.313,0.151,0.118,0.118,0.000,0.350,0.486,0.000,0.026,0.000,0.669,0.725,0.245
baseline,Baseline,robustness-winner,8,0.517,0.318,0.147,0.112,0.112,0.000,0.338,0.489,0.000,0.026,0.000,0.675,0.728,0.252
baseline,Baseline,robustness-winner,9,0.518,0.320,0.147,0.112,0.112,0.000,0.329,0.492,0.000,0.026,0.000,0.679,0.730,0.254
baseline,Baseline,robustness-winner,10,0.519,0.322,0.147,0.111,0.111,0.000,0.322,0.494,0.000,0.025,0.000,0.683,0.732,0.256
baseline,Baseline,robustness-winner,11,0.520,0.323,0.146,0.111,0.111,0.000,0.316,0.496,0.000,0.025,0.000,0.686,0.734,0.257
baseline,Baseline,robustness-winner,12,0.520,0.324,0.146,0.111,0.111,0.000,0.312,0.498,0.000,0.025,0.000,0.689,0.735,0.258
baseline,Baseline,robustness-winner,13,0.521,0.325,0.146,0.111,0.111,0.000,0.309,0.499,0.000,0.025,0.000,0.691,0.737,0.259
baseline,Baseline,robustness-winner,14,0.521,0.325,0.146,0.111,0.111,0.000,0.306,0.501,0.000,0.025,0.000,0.693,0.738,0.260
baseline,Baseline,robustness-winner,15,0.522,0.326,0.145,0.110,0.110,0.000,0.304,0.502,0.000,0.025,0.000,0.694,0.738,0.261
baseline,Baseline,robustness-winner,16,0.522,0.327,0.145,0.110,0.110,0.000,0.302,0.503,0.000,0.025,0.000,0.695,0.739,0.261
baseline,Baseline,robustness-winner,17,0.522,0.327,0.145,0.110,0.110,0.000,0.301,0.504,0.000,0.025,0.000,0.696,0.740,0.262
baseline,Baseline,robustness-winner,18,0.523,0.327,0.145,0.110,0.110,0.000,0.300,0.504,0.000,0.025,0.000,0.697,0.740,0.262
baseline,Baseline,robustness-winner,19,0.523,0.328,0.145,0.110,0.110,0.000,0.299,0.505,0.000,0.025,0.000,0.698,0.740,0.262
